,CompleteInfo?,UUID,Multipack?,Order,AlphaTitle,IMDBLink,DisplayTitle,Year,Rating,RunTime,Director,Starring,Genres,Tags,Formats,Synopsis,ImageLink,Ra Too?
Amanda,Y,tt0450385,,,1408,https://www.imdb.com/title/tt0450385,1408,2007,PG-13,1:44,Mikael Håfström,"John Cusack, Samuel L. Jackson, Mary McCormack, Tony Shalhoub","Fantasy, Horror, Mystery", , ,"A man who specialises in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.", ,
Amanda,Y,tt1190080,,,2012,https://www.imdb.com/title/tt1190080,2012,2009,PG-13,2:38,Roland Emmerich,"John Cusack, Thandiwe Newton, Chiwetel Ejiofor, Amanda Peet","Action, Adventure, Sci-Fi", , ,A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind., ,
Amanda,Y,tt0207275,,,10th Kingdom,https://www.imdb.com/title/tt0207275,The 10th Kingdom,2000,Not Rated,6:57,"David Carson, Herbert Wise","Scott Cohen, Kimberly Williams-Paisley, Dianne Wiest, John Larroquette, Ed O'Neill, Rutger Hauer, Ann-Margret, Warwick David","Adventure, Comedy, Family, Fantasy, Mystery, Romance",Mini-Series,D,"A father and daughter are caught in a parallel universe where the great Queens Snow White, Cinderella and Riding Hood III have had their kingdoms fragmented by warring trolls, giants and goblins.", ,
Amanda,Y,tt0120657,,,13th Warrior,https://www.imdb.com/title/tt0120657,13th Warrior,1999,R,1:42,"John McTiernan, Michael Crichton","Antonio Banderas, Diane Venora, Dennis Storhøi, Vladimir Kulich","Action, Adventure, History", ,,"A man, having fallen in love with the wrong woman, is sent by the sultan himself on a diplomatic mission to a distant land as an ambassador. Stopping at a Viking village port to restock on supplies, he finds himself unwittingly embroiled in a quest to banish a mysterious threat in a distant Viking land.", ,
Amanda,Y,tt2294449,,,22 Jump Street,https://www.imdb.com/title/tt2294449,22 Jump Street,2014,R,1:52,"Phil Lord, Christopher Miller","Jonah Hill, Channing Tatum, Ice Cube, Nick Offerman","Action, Comedy, Crime","Action, Comedy, Crime",D,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college.", ,
Amanda,Y,tt0416449,,,300 1,https://www.imdb.com/title/tt0416449,300,2006,R,1:57,Zack Snyder,"Gerard Butler, Lena Headey, David Wenham, Michael Fassbender","Action, Drama",Graphic-Novel,D,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C., ,
Amanda,Y,tt2557490,,,A Million Ways to Die in the West,https://www.imdb.com/title/tt2557490,A Million Ways to Die in the West,2014,R,1:56,Seth MacFarlane,"Seth MacFarlane, Charlize Theron, Liam Neeson, Amanda Seyfried, Giovanni Ribisi, Neil Patrick Harris","Comedy, Western", ,,"As a cowardly farmer begins to fall for the mysterious new woman in town, he must put his newly found courage to the test when her husband, a notorious gun-slinger, announces his arrival.", ,
Amanda,Y,tt0117913,,,A Time to Kill,https://www.imdb.com/title/tt0117913,A Time to Kill,1996,R,2:29,Joel Schumacher,"Matthew McConaughey, Sandra Bullock, Samuel L. Jackson, Kevin Spacey, Oliver Platt, Donald Sutherland","Crime, Drama, Thriller", , ,"In Clanton, Mississippi, a fearless young lawyer and his assistant defend a black man accused of murdering two white men who raped his ten-year-old daughter, inciting violent retribution and revenge from the Ku Klux Klan.", ,
Amanda,Y,tt0429493,,,A-Team,https://www.imdb.com/title/tt0429493,A-Team,2010,PG-13,1:57,Joe Carnahan,"Liam Neeson, Bradley Cooper, Sharlto Copley, Jessica Biel","Action, Adventure, Crime, Thriller",, ,"A group of Iraq War veterans look to clear their name with the U.S. Military, who suspect the four men of committing a crime for which they were framed.", ,
Amanda,Y,tt0384793,,,Accepted,https://www.imdb.com/title/tt0384793,Accepted,2006,PG-13,1:33,Steve Pink,"Justin Long, Jonah Hill, Blake Lively, Adam Herschman",Comedy,, ,"A high school slacker who's rejected by every school he applies to opts to create his own institution of higher learning, the South Harmon Institute of Technology, on a rundown piece of property near his hometown.", ,
